"Organization","City","State","Amount","Status","name"
"COMMUNITY BASED PUBLIC SAFETY COLLECTIVE INC.","EAST ORANGE","NJ","6554009","Prime Award","New Jersey"
"COMMUNITY FOUNDATION-WA COUNTY","GREENVILLE","MS","8e+05","Prime Award","Mississippi"
"COMMUNITY LIFELINE BROADVIEW, LLC","EAST SAINT LOUIS","IL","8e+05","Prime Award","Illinois"
"COMMUNITY NETWORK SERVICES INC.","NEWPORT NEWS","VA","1450800","Prime Award","Virginia"
"COMMUNITY OF CHANGE, INC.","PORTSMOUTH","VA","2e+06","Prime Award","Virginia"
"COMMUNITY PARTNERS","LOS ANGELES","CA","375000","Prime Award","California"
"COMMUNITY RESOURCES FOR JUSTICE, INC.","BOSTON","MA","16276579","Prime Award","Massachusetts"
"COMMUNITY RESOURCES FOR JUSTICE, INC.","BOSTON","MA","7500000","Prime Award","Massachusetts"
"COMMUNITY RESOURCES FOR JUSTICE, INC.","BOSTON","MA","1500000","Prime Award","Massachusetts"
"COMMUNITY RESOURCES FOR JUSTICE, INC.","BOSTON","MA","3128728","Prime Award","Massachusetts"
"COMMUNITY RESOURCES FOR JUSTICE, INC.","BOSTON","MA","1e+06","Prime Award","Massachusetts"
"COMMUNITY RESOURCES FOR JUSTICE, INC.","BOSTON","MA","8699808","Prime Award","Massachusetts"
"CORRECTIONS, NEW JERSEY DEPARTMENT OF","TRENTON","NJ","250000","Prime Award","New Jersey"
"COUNCIL OF JUVENILE JUSTICE ADMINISTRATORS INC.","HINGHAM","MA","350000","Prime Award","Massachusetts"
"COUNCIL OF JUVENILE JUSTICE ADMINISTRATORS INC.","HINGHAM","MA","250000","Prime Award","Massachusetts"
"COUNTY OF CUMBERLAND","BRIDGETON","NJ","550000","Prime Award","New Jersey"
"CURE VIOLENCE GLOBAL","CHICAGO","IL","3988779","Prime Award","Illinois"
"DIVERSITY CENTER OF OKLAHOMA INC","OKLAHOMA CITY","OK","2e+05","Prime Award","Oklahoma"
"DIVERSITY CENTER OF OKLAHOMA INC","OKLAHOMA CITY","OK","4e+05","Prime Award","Oklahoma"
"DREAMCATCHER INITIATIVE INC.","FITCHBURG","MA","50000","Prime Award","Massachusetts"
"EAST ORANGE CITY OF","EAST ORANGE","NJ","3e+05","Prime Award","New Jersey"
"ENDEAVOR HEALTH CLINICAL OPERATIONS","EVANSTON","IL","2e+06","Prime Award","Illinois"
"EQUAL JUSTICE USA, INC.","BROOKLYN","NY","2966968","Prime Award","New York"
"EQUAL JUSTICE USA, INC.","BROOKLYN","NY","867841","Prime Award","New York"
"EQUAL JUSTICE WORKS","WASHINGTON","DC","5e+06","Prime Award","District of Columbia"
"EQUALITY CALIFORNIA INSTITUTE","LOS ANGELES","CA","399997","Prime Award","California"
"EXODUS TRANSITIONAL COMMUNITY, INC.","NEW YORK","NY","2e+06","Prime Award","New York"
"F.O.R.G.E. INC.","MILWAUKEE","WI","749908.07","Prime Award","Wisconsin"
"F.O.R.G.E. INC.","MILWAUKEE","WI","5e+05","Prime Award","Wisconsin"
"FAITH-BASED INFORMATION SHARING AND ANALYSIS ORGANIZATION","HERNDON","VA","453438","Prime Award","Virginia"
"FAMILIES FIRST","MISSOULA","MT","764509","Prime Award","Montana"
"FLORIDA LEGAL SERVICES, INC","NEWBERRY","FL","5e+05","Prime Award","Florida"
"FORCE DETROIT","DETROIT","MI","1999998","Prime Award","Michigan"
"FRESNO COUNTY ECONOMIC OPPORTUNITIES COMMISSION","FRESNO","CA","2e+06","Prime Award","California"
"FUTURES WITHOUT VIOLENCE","SAN FRANCISCO","CA","2e+06","Prime Award","California"
"GEMEINSCHAFT HOME","ROCKINGHAM","VA","750000","Prime Award","Virginia"
"GETTING OUT AND STAYING OUT, INC.","NEW YORK","NY","2e+06","Prime Award","New York"
"GLOBAL PEACE FOUNDATION","LANHAM","MD","399999","Prime Award","Maryland"
"GRAHAM COUNTY","SAFFORD","AZ","1e+06","Prime Award","Arizona"
"GREAT NORTH INNOCENCE PROJECT","MINNEAPOLIS","MN","6e+05","Prime Award","Minnesota"
"GREATER BAYBROOK ALLIANCE, INC","BALTIMORE","MD","2e+06","Prime Award","Maryland"
"HEAL MEMPHIS","MEMPHIS","TN","1764992","Prime Award","Tennessee"
"HEALTH RESOURCES IN ACTION, INC.","BOSTON","MA","4e+06","Prime Award","Massachusetts"
"HEALTH RESOURCES IN ACTION, INC.","BOSTON","MA","2500000","Prime Award","Massachusetts"
"HEALTH RESOURCES IN ACTION, INC.","BOSTON","MA","2050000","Prime Award","Massachusetts"
"HENNEPIN HEALTHCARE SYSTEM INC","MINNEAPOLIS","MN","499681.99","Prime Award","Minnesota"
"HMH HOSPITALS CORPORATION","EDISON","NJ","1999403","Prime Award","New Jersey"
"IMPACT JUSTICE","OAKLAND","CA","7447164","Prime Award","California"
"IMPACT JUSTICE","OAKLAND","CA","4e+06","Prime Award","California"
"IMPACT JUSTICE","OAKLAND","CA","5e+06","Prime Award","California"
"IMPACT JUSTICE","OAKLAND","CA","6700000","Prime Award","California"
"INSTITUTE FOR STRATEGIC DIALOGUE-U.S.","WASHINGTON","DC","2e+06","Prime Award","District of Columbia"
"INTERNATIONAL ASSOCIATION OF FORENSIC NURSES, INCORPORATED","ELKRIDGE","MD","3999833","Prime Award","Maryland"
"INTERNATIONAL CENTER FOR THE STUDY OF VIOLENT EXTREMISM","MC LEAN","VA","4e+05","Prime Award","Virginia"
"JAIL TO JOBS","LEANDER","TX","2e+06","Prime Award","Texas"
"JUDICIAL COUNCIL OF CALIFORNIA","SAN FRANCISCO","CA","410614","Prime Award","California"
"JUSTICE INFORMATION RESOURCE NETWORK INC.","WASHINGTON","DC","1999990","Prime Award","District of Columbia"
"JUSTICE INFORMATION RESOURCE NETWORK INC.","WASHINGTON","DC","1500000","Prime Award","District of Columbia"
"JUSTICE INFORMATION RESOURCE NETWORK INC.","WASHINGTON","DC","1799988","Prime Award","District of Columbia"
"JUSTICE INFORMATION RESOURCE NETWORK INC.","WASHINGTON","DC","1250000","Prime Award","District of Columbia"
"JUSTICE INNOVATION INC.","NEW YORK","NY","4e+06","Prime Award","New York"
"JUSTICE INNOVATION INC.","NEW YORK","NY","2958482","Prime Award","New York"
"JUSTICE INNOVATION INC.","NEW YORK","NY","1e+06","Prime Award","New York"
"JUSTICE INNOVATION INC.","NEW YORK","NY","1e+06","Prime Award","New York"
"JUSTICE INNOVATION INC.","NEW YORK","NY","1e+06","Prime Award","New York"
"JUSTICE INNOVATION INC.","NEW YORK","NY","829358","Prime Award","New York"
"JUSTICE INNOVATION INC.","NEW YORK","NY","630149","Prime Award","New York"
"JUVENILE JUSTICE ADVOCATES INTERNATIONAL","ROSEVILLE","MN","50000","Prime Award","Minnesota"
"KINGSBRIDGE HEIGHTS COMMUNITY CENTER INC","BRONX","NY","2e+05","Prime Award","New York"
"LAW & PUBLIC SAFETY, NEW JERSEY DEPARTMENT OF","TRENTON","NJ","4e+06","Prime Award","New Jersey"
"LAW & PUBLIC SAFETY, NEW JERSEY DEPARTMENT OF","TRENTON","NJ","1996314","Prime Award","New Jersey"
"LAW & PUBLIC SAFETY, NEW JERSEY DEPARTMENT OF","TRENTON","NJ","6e+06","Prime Award","New Jersey"
"LAW & PUBLIC SAFETY, NEW JERSEY DEPARTMENT OF","TRENTON","NJ","750000","Prime Award","New Jersey"
"LAW & PUBLIC SAFETY, NEW JERSEY DEPARTMENT OF","TRENTON","NJ","347000","Prime Award","New Jersey"
"LESBIAN & GAY COMMUNITY SERVICES CENTER INC.","NEW YORK","NY","2e+05","Prime Award","New York"
"LIFE AFTER JUSTICE","CHICAGO","IL","1133976","Prime Award","Illinois"
"LIFE AFTER JUSTICE","CHICAGO","IL","598409","Prime Award","Illinois"
"LIFE CAMPS INC","QUEENS","NY","2e+06","Prime Award","New York"
"LIVING CLASSROOMS FOUNDATION, INC","BALTIMORE","MD","1950000","Prime Award","Maryland"
"LOCAL INITIATIVES SUPPORT CORPORATION","NEW YORK","NY","6554984","Prime Award","New York"
"LOCAL INITIATIVES SUPPORT CORPORATION","NEW YORK","NY","4200000","Prime Award","New York"
"LOCAL INITIATIVES SUPPORT CORPORATION","NEW YORK","NY","5473750","Prime Award","New York"
"LOCAL INITIATIVES SUPPORT CORPORATION","NEW YORK","NY","4200000","Prime Award","New York"
"LUCKY SHOALS COMMUNITY ASSOCIATION, INC.","TUCKER","GA","4e+05","Prime Award","Georgia"
"MARYLAND NETWORK AGAINST DOMESTIC VIOLENCE INC","ANNAPOLIS","MD","4e+05","Prime Award","Maryland"
"MDRC","NEW YORK","NY","1105591","Prime Award","New York"
"MDRC","NEW YORK","NY","999345","Prime Award","New York"
"MEDIATORS BEYOND BORDERS INTERNATIONAL UNK","WASHINGTON","DC","999428","Prime Award","District of Columbia"
"MEI FONG AND ASSOCIATES","SAN FRANCISCO","CA","5e+05","Prime Award","California"
"METROPOLITAN FAMILY SERVICES","CHICAGO","IL","4200000","Prime Award","Illinois"
"METROPOLITAN FAMILY SERVICES","CHICAGO","IL","2e+06","Prime Award","Illinois"
"MICHIGAN MIGRANT LEGAL ASSISTANCE PROJECT INC","GRAND RAPIDS","MI","274845","Prime Award","Michigan"
"MICHIGAN PUBLIC HEALTH INSTITUTE","OKEMOS","MI","1e+06","Prime Award","Michigan"
"MICHIGAN PUBLIC HEALTH INSTITUTE","OKEMOS","MI","997368","Prime Award","Michigan"
"MINNESOTA DEPARTMENT OF EDUCATION","ROSEVILLE","MN","1999963","Prime Award","Minnesota"
"MN8","SAINT PAUL","MN","361491","Prime Award","Minnesota"
"MOSES-WEITZMAN HEALTH SYSTEM, INC.","MIDDLETOWN","CT","1e+06","Prime Award","Connecticut"
"MOVEMENTFORWARD INC","BROOKHAVEN","GA","1e+06","Prime Award","Georgia"
"MULTNOMAH COUNTY","PORTLAND","OR","1e+06","Prime Award","Oregon"
"MULTNOMAH COUNTY","PORTLAND","OR","999993","Prime Award","Oregon"
"NAACP EUGENE-SPRINGFIELD BRANCH","EUGENE","OR","4e+05","Prime Award","Oregon"
"NATIONAL ACADEMY OF SCIENCES","WASHINGTON","DC","750000","Prime Award","District of Columbia"
"NATIONAL ASSOCIATION OF COUNTIES RESEARCH FOUNDATION","WASHINGTON","DC","5e+05","Prime Award","District of Columbia"
"NATIONAL ASSOCIATION OF CRIMINAL DEFENSE LAWYERS INC.","WASHINGTON","DC","2552675","Prime Award","District of Columbia"
"NATIONAL ASSOCIATION OF CRIMINAL DEFENSE LAWYERS INC.","WASHINGTON","DC","1e+06","Prime Award","District of Columbia"
"NATIONAL ASSOCIATION OF CRIMINAL DEFENSE LAWYERS INC.","WASHINGTON","DC","6150000","Prime Award","District of Columbia"
"NATIONAL ASSOCIATION OF VOCA ASSISTANCE ADMINISTRATORS","OKLAHOMA CITY","OK","1750000","Prime Award","Oklahoma"
"NATIONAL ASSOCIATION OF VOCA ASSISTANCE ADMINISTRATORS","OKLAHOMA CITY","OK","750000","Prime Award","Oklahoma"
"NATIONAL CASA ASSOCIATION","SEATTLE","WA","16467895","Prime Award","Washington"
"NATIONAL CASA ASSOCIATION","SEATTLE","WA","8870000","Prime Award","Washington"
"NATIONAL CASA ASSOCIATION","SEATTLE","WA","23607474","Prime Award","Washington"
"NATIONAL CENTER FOR STATE COURTS","WILLIAMSBURG","VA","3999829","Prime Award","Virginia"
"NATIONAL CENTER FOR STATE COURTS","WILLIAMSBURG","VA","422100","Prime Award","Virginia"
"NATIONAL CENTER FOR STATE COURTS","WILLIAMSBURG","VA","249071","Prime Award","Virginia"
"NATIONAL CENTER FOR VICTIMS OF CRIME, INC.","LANDOVER","MD","2e+06","Prime Award","Maryland"
"NATIONAL CENTER FOR VICTIMS OF CRIME, INC.","LANDOVER","MD","2e+06","Prime Award","Maryland"
"NATIONAL CENTER FOR VICTIMS OF CRIME, INC.","LANDOVER","MD","1050000","Prime Award","Maryland"
"NATIONAL COUNCIL OF JUVENILE AND FAMILY COURT JUDGES","RENO","NV","1e+06","Prime Award","Nevada"
"NATIONAL COUNCIL OF JUVENILE AND FAMILY COURT JUDGES","RENO","NV","3014016","Prime Award","Nevada"
"NATIONAL COUNCIL OF JUVENILE AND FAMILY COURT JUDGES","RENO","NV","7685742","Prime Award","Nevada"
"NATIONAL COUNCIL OF JUVENILE AND FAMILY COURT JUDGES","RENO","NV","2500000","Prime Award","Nevada"
"NATIONAL COUNCIL OF JUVENILE AND FAMILY COURT JUDGES","RENO","NV","1100000","Prime Award","Nevada"
"NATIONAL CRIME VICTIM LAW INSTITUTE","PORTLAND","OR","5e+05","Prime Award","Oregon"
"NATIONAL CRIMINAL JUSTICE ASSOCIATION","WASHINGTON","DC","6e+06","Prime Award","District of Columbia"
"NATIONAL CRIMINAL JUSTICE ASSOCIATION","WASHINGTON","DC","6e+06","Prime Award","District of Columbia"
"NATIONAL CRIMINAL JUSTICE ASSOCIATION","WASHINGTON","DC","8849797","Prime Award","District of Columbia"
"NATIONAL CRIMINAL JUSTICE ASSOCIATION","WASHINGTON","DC","2e+06","Prime Award","District of Columbia"
"NATIONAL DISTRICT ATTORNEYS ASSOCIATION","ARLINGTON","VA","2205937","Prime Award","Virginia"
"NATIONAL DISTRICT ATTORNEYS ASSOCIATION","ARLINGTON","VA","2925000","Prime Award","Virginia"
"NATIONAL GOVERNORS ASSOCIATION CENTER FOR BEST PRACTICES","WASHINGTON","DC","5e+05","Prime Award","District of Columbia"
"NATIONAL LEGAL AID AND DEFENDER ASSOCIATION","WASHINGTON","DC","5e+06","Prime Award","District of Columbia"
"NATIONAL NETWORK TO END DOMESTIC VIOLENCE, INC.","WASHINGTON","DC","2e+06","Prime Award","District of Columbia"
"NATIONAL OPINION RESEARCH CENTER","CHICAGO","IL","1996357","Prime Award","Illinois"
"NATIONAL OPINION RESEARCH CENTER","CHICAGO","IL","1499885","Prime Award","Illinois"
"NATIONAL OPINION RESEARCH CENTER","CHICAGO","IL","8e+05","Prime Award","Illinois"
"NATIONAL OPINION RESEARCH CENTER","CHICAGO","IL","508010","Prime Award","Illinois"
"NATIONAL ORGANIZATION FOR VICTIM ASSISTANCE, INC.","ALEXANDRIA","VA","870000","Prime Award","Virginia"
"NATIONAL PARTNERSHIP FOR JUVENILE SERVICES INC","LEXINGTON","KY","5e+05","Prime Award","Kentucky"
"NATIONAL POLICING INSTITUTE","ARLINGTON","VA","8267407","Prime Award","Virginia"
"NATIONAL POLICING INSTITUTE","ARLINGTON","VA","1e+06","Prime Award","Virginia"
"NATIONAL POLICING INSTITUTE","ARLINGTON","VA","1487500","Prime Award","Virginia"
"NATIONAL POLICING INSTITUTE","ARLINGTON","VA","5e+05","Prime Award","Virginia"
"NETWORK FOR VICTIM RECOVERY OF THE DISTRICT OF COLUMBIA","WASHINGTON","DC","5e+05","Prime Award","District of Columbia"
"NEW KENSINGTON COMMUNITY DEVELOPMENT CORP","PHILADELPHIA","PA","1500051","Prime Award","Pennsylvania"
"NEW YORK CITY CRIMINAL JUSTICE AGENCY, INC.","NEW YORK","NY","975000","Prime Award","New York"
"NEW YORK CITY GAY AND LESBIAN ANTI-VIOLENCE PROJECT, INC.","NEW YORK","NY","4e+05","Prime Award","New York"
"NEWARK COMMUNITY STREET TEAM INC","NEWARK","NJ","2e+06","Prime Award","New Jersey"
"NEWARK COMMUNITY STREET TEAM INC","NEWARK","NJ","1e+06","Prime Award","New Jersey"
"NOAHS ANIMAL HOUSE FOUNDATION","RENO","NV","687141","Prime Award","Nevada"
"NONVIOLENT PEACEFORCE","MINNEAPOLIS","MN","1500000","Prime Award","Minnesota"
"NONVIOLENT PEACEFORCE","MINNEAPOLIS","MN","4e+05","Prime Award","Minnesota"
"OFFENDER AID AND RESTORATION OF CHARLOTTESVILLE-ALBEMARLE, INC.","CHARLOTTESVILLE","VA","563315","Prime Award","Virginia"
"OKLAHOMA CITY FAMILY JUSTICE CENTER, INC","OKLAHOMA CITY","OK","5e+05","Prime Award","Oklahoma"
"OKLAHOMA COUNTY DIVERSION HUB, INC.","OKLAHOMA CITY","OK","2e+06","Prime Award","Oklahoma"
"OPPORTUNITIES FOR INDIVIDUAL CHANGE, INCORPORATED","SPRINGFIELD","OH","1633510","Prime Award","Ohio"
"ORANGE COUNTY HUMAN RELATIONS COUNCIL","SANTA ANA","CA","4e+05","Prime Award","California"
"ORLEANS PARISH DISTRICT ATTORNEY","NEW ORLEANS","LA","1e+06","Prime Award","Louisiana"
"PATERSON, CITY OF","PATERSON","NJ","6e+05","Prime Award","New Jersey"
"PATH INC","PORTAGE","IN","997351","Prime Award","Indiana"
"PAVE PROMOTING AWARENESS VICTIM EMPOWERMENT","CHICAGO","IL","749256","Prime Award","Illinois"
"PEACE FOR DC","WASHINGTON","DC","2e+06","Prime Award","District of Columbia"
"PHILLIPS BLACK INC A NON-PROFIT PUBLIC INTEREST LAW PRACTICE","OAKLAND","CA","531597","Prime Award","California"
"PIKES PEAK ELDER JUSTICE CENTER","COLORADO SPRINGS","CO","372004","Prime Award","Colorado"
"PINYON FOUNDATION","SANTA MONICA","CA","4e+05","Prime Award","California"
"POLICE EXECUTIVE RESEARCH FORUM","WASHINGTON","DC","1325889","Prime Award","District of Columbia"
"POLICE EXECUTIVE RESEARCH FORUM","WASHINGTON","DC","743749","Prime Award","District of Columbia"
"POLICE EXECUTIVE RESEARCH FORUM","WASHINGTON","DC","599999","Prime Award","District of Columbia"
"PORTLAND OPPORTUNITIES INDUSTRIALIZATION CENTER, INC.","PORTLAND","OR","1998264","Prime Award","Oregon"
"POWER 4 STL INC","SAINT LOUIS","MO","1999913","Prime Award","Missouri"
"PRETRIAL JUSTICE INSTITUTE","BALTIMORE","MD","1e+06","Prime Award","Maryland"
"PREVENTION EDUCATION INC","LAWRENCE TOWNSHIP","NJ","1564024","Prime Award","New Jersey"
"PRISMA HEALTH-MIDLANDS","COLUMBIA","SC","2e+06","Prime Award","South Carolina"
"PROMISE NEIGHBORHOODS OF LEHIGH VAL LEY","ALLENTOWN","PA","1995400","Prime Award","Pennsylvania"
"PROVIDENCE HEALTH SYSTEM-SOUTHERN CALIFORNIA","MISSION HILLS","CA","1998861","Prime Award","California"
"PUERTO RICAN CULTURAL CENTER","CHICAGO","IL","4e+05","Prime Award","Illinois"
"RADY CHILDREN'S HOSPITAL-SAN DIEGO","SAN DIEGO","CA","3600000","Prime Award","California"
"RAKSHA INC","ATLANTA","GA","5e+05","Prime Award","Georgia"
"RAKSHA INC","ATLANTA","GA","2e+05","Prime Award","Georgia"
"REACH OUT WEST END","UPLAND","CA","1e+06","Prime Award","California"
"RECLAMATION & RESTORATION MINISTRIES","BATON ROUGE","LA","1498637","Prime Award","Louisiana"
"REGION 12 COMMISSION ON MENTAL HEALTH & MENTAL RETARDATION","HATTIESBURG","MS","542966","Prime Award","Mississippi"
"REGION TEN COMMUNITY SERVICES BOARD INC","CHARLOTTESVILLE","VA","333724","Prime Award","Virginia"
"RESEARCH TRIANGLE INSTITUTE","DURHAM","NC","12650000","Prime Award","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","DURHAM","NC","2775000","Prime Award","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","DURHAM","NC","3e+06","Prime Award","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","DURHAM","NC","3e+06","Prime Award","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","DURHAM","NC","1999925","Prime Award","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","DURHAM","NC","1167336","Prime Award","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","DURHAM","NC","1157850","Prime Award","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","DURHAM","NC","998491","Prime Award","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","DURHAM","NC","908415","Prime Award","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","DURHAM","NC","1608435","Prime Award","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","DURHAM","NC","860438","Prime Award","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","DURHAM","NC","769955","Prime Award","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","DURHAM","NC","999816","Prime Award","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","DURHAM","NC","649996","Prime Award","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","DURHAM","NC","637685","Prime Award","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","DURHAM","NC","579986","Prime Award","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","DURHAM","NC","1499981.25","Prime Award","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","DURHAM","NC","925357","Prime Award","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","DURHAM","NC","1199956","Prime Award","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","DURHAM","NC","1169360","Prime Award","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","DURHAM","NC","750000","Prime Award","North Carolina"
"RIGHT TO BE INC.","BROOKLYN","NY","4e+05","Prime Award","New York"
"ROCA INC","CHELSEA","MA","1997078","Prime Award","Massachusetts"
"ROCA INC","CHELSEA","MA","1999890","Prime Award","Massachusetts"
"ROCA INC","CHELSEA","MA","1998807","Prime Award","Massachusetts"
"RUBY'S PLACE","CASTRO VALLEY","CA","1e+05","Prime Award","California"
"SAFE FUTURES, INC.","NEW LONDON","CT","1e+05","Prime Award","Connecticut"
"SAN FRANCISCO, CITY & COUNTY OF","SAN FRANCISCO","CA","1e+06","Prime Award","California"
"SELMA CENTER","SELMA","AL","1999574","Prime Award","Alabama"
"SEPA MUJER, INC","PATCHOGUE","NY","2e+05","Prime Award","New York"
"SERVE AND CONNECT","COLUMBIA","SC","964480","Prime Award","South Carolina"
"SERVE AND CONNECT","COLUMBIA","SC","973315","Prime Award","South Carolina"
"SOCIAL AND ENVIRONMENTAL ENTREPRENEURS (SEE), INC.","CALABASAS","CA","1e+06","Prime Award","California"
"SOCIAL CURRENT INC","MILWAUKEE","WI","987500","Prime Award","Wisconsin"
"SOCIAL CURRENT INC","MILWAUKEE","WI","1e+06","Prime Award","Wisconsin"
"SOUTH ASIAN NETWORK INC","ARTESIA","CA","4e+05","Prime Award","California"
"SOUTH CENTRAL ALABAMA MENTAL HEALTH BOARD INC.","ANDALUSIA","AL","550000","Prime Award","Alabama"
"SPECIAL SERVICE FOR GROUPS, INC.","LOS ANGELES","CA","4e+05","Prime Award","California"
"ST. BARNABAS SENIOR CENTER OF LOS ANGELES","LOS ANGELES","CA","4e+05","Prime Award","California"
"ST. JOHN'S COMMUNITY HEALTH","LOS ANGELES","CA","4e+05","Prime Award","California"
"STRENGTH IN PEERS INC.","NEW MARKET","VA","6e+05","Prime Award","Virginia"
"TALLER SALUD INC","LOIZA","PR","2e+06","Prime Award","Puerto Rico"
"TASC INC","CHICAGO","IL","3250000","Prime Award","Illinois"
"TASC INC","CHICAGO","IL","5e+06","Prime Award","Illinois"
"TEEN AND POLICE SERVICE ACADEMY","HOUSTON","TX","387617","Prime Award","Texas"
"THE ASIAN ROUNDTABLE OF COLORADO","CENTENNIAL","CO","399828","Prime Award","Colorado"
"THE CHILDREN'S HOSPITAL OF PHILADELPHIA","PHILADELPHIA","PA","2335668","Prime Award","Pennsylvania"
"THE CNA CORPORATION","ARLINGTON","VA","1001561","Prime Award","Virginia"
"THE CNA CORPORATION","ARLINGTON","VA","898792","Prime Award","Virginia"
"THE CNA CORPORATION","ARLINGTON","VA","999961","Prime Award","Virginia"
"THE CNA CORPORATION","ARLINGTON","VA","694620","Prime Award","Virginia"
"THE CNA CORPORATION","ARLINGTON","VA","642315","Prime Award","Virginia"
"THE CNA CORPORATION","ARLINGTON","VA","3499433","Prime Award","Virginia"
"THE CONNIE RICE INSTITUTE FOR URBAN PEACE","LOS ANGELES","CA","1999434","Prime Award","California"
"THE CONNIE RICE INSTITUTE FOR URBAN PEACE","LOS ANGELES","CA","1500000","Prime Award","California"
"THE COUNCIL OF STATE GOVERNMENTS LTD.","LEXINGTON","KY","15600000","Prime Award","Kentucky"
"THE COUNCIL OF STATE GOVERNMENTS LTD.","LEXINGTON","KY","7500000","Prime Award","Kentucky"
"THE COUNCIL OF STATE GOVERNMENTS LTD.","LEXINGTON","KY","7286371","Prime Award","Kentucky"
"THE COUNCIL OF STATE GOVERNMENTS LTD.","LEXINGTON","KY","19476580","Prime Award","Kentucky"
"THE COUNCIL OF STATE GOVERNMENTS LTD.","LEXINGTON","KY","8250000","Prime Award","Kentucky"
"THE COUNCIL OF STATE GOVERNMENTS LTD.","LEXINGTON","KY","8250000","Prime Award","Kentucky"
"THE COUNCIL OF STATE GOVERNMENTS LTD.","LEXINGTON","KY","5474583","Prime Award","Kentucky"
"THE COUNCIL OF STATE GOVERNMENTS LTD.","LEXINGTON","KY","4976276","Prime Award","Kentucky"
"THE COUNCIL OF STATE GOVERNMENTS LTD.","LEXINGTON","KY","3600000","Prime Award","Kentucky"
"THE COUNCIL OF STATE GOVERNMENTS LTD.","LEXINGTON","KY","3139197","Prime Award","Kentucky"
"THE COUNCIL OF STATE GOVERNMENTS LTD.","LEXINGTON","KY","1950000","Prime Award","Kentucky"
"THE COUNCIL OF STATE GOVERNMENTS LTD.","LEXINGTON","KY","3e+06","Prime Award","Kentucky"
"THE GAULT CENTER","WASHINGTON","DC","2665000","Prime Award","District of Columbia"
"THE INFORMATION AND REFERRAL FEDERATION OF LOS ANGELES COUNTY","SAN GABRIEL","CA","1e+06","Prime Award","California"
"THE INFORMATION AND REFERRAL FEDERATION OF LOS ANGELES COUNTY","SAN GABRIEL","CA","397193","Prime Award","California"
"THE INNOCENCE CENTER","SAN DIEGO","CA","6e+05","Prime Award","California"
"THE INSTITUTE FOR INTERGOVERNMENTAL RESEARCH, INC.","TALLAHASSEE","FL","29833000","Prime Award","Florida"
"THE INSTITUTE FOR INTERGOVERNMENTAL RESEARCH, INC.","TALLAHASSEE","FL","20558164","Prime Award","Florida"
"THE INSTITUTE FOR INTERGOVERNMENTAL RESEARCH, INC.","TALLAHASSEE","FL","8911329","Prime Award","Florida"
"THE INSTITUTE FOR INTERGOVERNMENTAL RESEARCH, INC.","TALLAHASSEE","FL","11270000","Prime Award","Florida"
"THE INSTITUTE FOR INTERGOVERNMENTAL RESEARCH, INC.","TALLAHASSEE","FL","6e+06","Prime Award","Florida"
"THE INSTITUTE FOR INTERGOVERNMENTAL RESEARCH, INC.","TALLAHASSEE","FL","6e+06","Prime Award","Florida"
"THE INSTITUTE FOR INTERGOVERNMENTAL RESEARCH, INC.","TALLAHASSEE","FL","6594328","Prime Award","Florida"
"THE INSTITUTE FOR INTERGOVERNMENTAL RESEARCH, INC.","TALLAHASSEE","FL","3866550","Prime Award","Florida"
"THE INSTITUTE FOR INTERGOVERNMENTAL RESEARCH, INC.","TALLAHASSEE","FL","2477262","Prime Award","Florida"
"THE INSTITUTE FOR INTERGOVERNMENTAL RESEARCH, INC.","TALLAHASSEE","FL","2e+06","Prime Award","Florida"
"THE INSTITUTE FOR INTERGOVERNMENTAL RESEARCH, INC.","TALLAHASSEE","FL","2669163","Prime Award","Florida"
"THE INSTITUTE FOR INTERGOVERNMENTAL RESEARCH, INC.","TALLAHASSEE","FL","2500000","Prime Award","Florida"
"THE INSTITUTE FOR INTERGOVERNMENTAL RESEARCH, INC.","TALLAHASSEE","FL","2524956","Prime Award","Florida"
"THE JOHN F FINN INSTITUTE FOR PUBLIC SAFETY INC","ALBANY","NY","790298","Prime Award","New York"
"THE JUDICIAL COUNCIL OF CALIFORNIA","SAN FRANCISCO","CA","599556","Prime Award","California"
"THE LATINO COALITION FOR COMMUNITY LEADERSHIP","BAKERSFIELD","CA","4e+06","Prime Award","California"
